test_start,test_end,cumulative_return,spy_cumulative_return,excess_return,sharpe_ratio,sortino_ratio,max_drawdown,volatility,win_rate,avg_trade_return,num_trades,num_sells
2023-07-01 00:00:00-04:00,2023-08-31 00:00:00-04:00,-0.020818796691894348,0.01478177619309795,-0.0356005728849923,-1.3857627942770507,-1.083125488022126,-0.0415985975090958,0.0883208023478345,0.2,-0.0282717193022063,16,5
2023-09-01 00:00:00-04:00,2023-10-31 00:00:00-04:00,0.0,-0.06984841001757625,0.06984841001757625,0.0,0.0,0.0,0.0,0.0,0.0,5,0
2023-11-01 00:00:00-04:00,2023-12-31 00:00:00-05:00,0.09621052127838126,0.1291276014176026,-0.032917080139221344,4.7722985778571525,3.338327546906895,-0.021366656056251914,0.1229423724530235,1.0,0.4647727345385826,8,1
2024-01-01 00:00:00-05:00,2024-02-29 00:00:00-05:00,0.005531098499298004,0.07496031700610128,-0.06942921850680328,0.5666101019049973,0.4343592979268647,-0.022992087441926597,0.06496621382857283,0.3333333333333333,-0.006906848974676991,18,6
2024-03-01 00:00:00-05:00,2024-04-30 00:00:00-04:00,0.0,-0.018153984993582117,0.018153984993582117,0.0,0.0,0.0,0.0,0.0,0.0,7,0
2024-05-01 00:00:00-04:00,2024-06-30 00:00:00-04:00,-0.0012681779861449805,0.0911874884226418,-0.09245566640878677,0.0012215133332721265,0.0010162475591968523,-0.035241345594634425,0.1295826159822879,1.0,0.12896001894457795,8,1
2024-07-01 00:00:00-04:00,2024-08-31 00:00:00-04:00,0.01898380218505835,0.033630334255388306,-0.014646532070329954,1.0675772625848137,0.44361959315302596,-0.061049455566406285,0.10871294527316383,0.0,-0.13267678872436403,8,1
2024-09-01 00:00:00-04:00,2024-10-31 00:00:00-04:00,0.004214518508910414,0.03315503506395001,-0.028940516555039597,0.3800885079753691,0.2311879879513018,-0.02781091101896552,0.07331289017633016,0.5,-0.00033194771033307635,19,6
2024-11-01 00:00:00-04:00,2024-12-31 00:00:00-05:00,0.0,0.029792301840639412,-0.029792301840639412,0.0,0.0,0.0,0.0,0.0,0.0,7,0
2025-01-01 00:00:00-05:00,2025-02-28 00:00:00-05:00,-0.009984451141357487,0.01631771555150996,-0.026302166692867446,-0.8084047304693595,-0.5190090422697257,-0.02543195811222267,0.07857834152205782,0.5714285714285714,-0.010082321076228048,21,7
2025-03-01 00:00:00-05:00,2025-04-30 00:00:00-04:00,-0.036367064971923546,-0.047213542873233205,0.010846477901309659,-1.1617216127920733,-0.552465760217661,-0.08874141771854122,0.18158409063927125,0.42857142857142855,-0.03650988811466059,20,7
2025-05-01 00:00:00-04:00,2025-06-30 00:00:00-04:00,0.0,0.10959681842359803,-0.10959681842359803,0.0,0.0,0.0,0.0,0.0,0.0,7,0
