Date,Portfolio_Value,Cash,Positions,SPY_Price,Portfolio_Return
2025-01-02 00:00:00-05:00,100000.0,100000.0,0,577.8541259765625,
2025-01-03 00:00:00-05:00,100000.0,100000.0,0,585.0792846679688,0.0
2025-01-06 00:00:00-05:00,100000.0,100000.0,0,588.4497680664062,0.0
2025-01-07 00:00:00-05:00,100000.0,100000.0,0,581.7978515625,0.0
2025-01-08 00:00:00-05:00,100000.0,100000.0,0,582.6478271484375,0.0
2025-01-10 00:00:00-05:00,100000.0,100000.0,0,573.7523193359375,0.0
2025-01-13 00:00:00-05:00,100000.0,100000.0,0,574.6419067382812,0.0
2025-01-14 00:00:00-05:00,100000.0,100000.0,0,575.4325561523438,0.0
2025-01-15 00:00:00-05:00,100000.0,100000.0,0,585.8997192382812,0.0
2025-01-16 00:00:00-05:00,100000.0,100000.0,0,584.7728881835938,0.0
2025-01-17 00:00:00-05:00,100000.0,100000.0,0,590.64404296875,0.0
2025-01-21 00:00:00-05:00,100000.0,100000.0,0,596.0504760742188,0.0
2025-01-22 00:00:00-05:00,100000.0,100000.0,0,599.4011840820312,0.0
2025-01-23 00:00:00-05:00,100000.0,100000.0,0,602.6727294921875,0.0
2025-01-24 00:00:00-05:00,100000.0,100000.0,0,600.913330078125,0.0
2025-01-27 00:00:00-05:00,100000.0,100000.0,0,592.4132080078125,0.0
2025-01-28 00:00:00-05:00,100000.0,100000.0,0,597.50341796875,0.0
2025-01-29 00:00:00-05:00,100000.0,100000.0,0,594.8248901367188,0.0
2025-01-30 00:00:00-05:00,100000.0,100000.0,0,598.0173950195312,0.0
2025-01-31 00:00:00-05:00,100000.0,472.7652282714844,7,594.8347778320312,0.0
2025-02-03 00:00:00-05:00,100255.08388519287,472.7652282714844,7,590.831787109375,0.0025508388519286385
2025-02-04 00:00:00-05:00,101128.30443572998,472.7652282714844,7,594.7952880859375,0.008709987730268987
2025-02-05 00:00:00-05:00,101675.88121032715,472.7652282714844,7,597.2069091796875,0.005414673741960918
2025-02-06 00:00:00-05:00,100905.2553100586,472.7652282714844,7,599.2825317382812,-0.007579239944568883
2025-02-07 00:00:00-05:00,100462.38382720947,472.7652282714844,7,593.7969970703125,-0.004388983323894036
2025-02-10 00:00:00-05:00,101050.28205871582,472.7652282714844,7,597.82958984375,0.005851923965068506
2025-02-11 00:00:00-05:00,101385.13304138184,472.7652282714844,7,598.2842407226562,0.0033137065611696936
2025-02-12 00:00:00-05:00,100807.22895812988,472.7652282714844,7,596.35693359375,-0.005700087043492563
2025-02-13 00:00:00-05:00,102041.41732788086,472.7652282714844,7,602.6529541015625,0.012243054218498584
2025-02-14 00:00:00-05:00,102131.31024169922,472.7652282714844,7,602.6232299804688,0.0008809453668161549
2025-02-18 00:00:00-05:00,101303.32678985596,472.7652282714844,7,604.3925170898438,-0.008107048170475806
2025-02-19 00:00:00-05:00,101944.48733520508,472.7652282714844,7,605.8157958984375,0.006329116384096167
2025-02-20 00:00:00-05:00,102150.4747543335,472.7652282714844,7,603.2954711914062,0.0020205841876579367
2025-02-21 00:00:00-05:00,102438.60467529297,472.7652282714844,7,592.9766235351562,0.0028206420151488665
2025-02-24 00:00:00-05:00,103166.48715209961,472.7652282714844,7,590.2781982421875,0.0071055485294226894
2025-02-25 00:00:00-05:00,103976.33855438232,472.7652282714844,7,587.3427734375,0.007849946476211178
2025-02-26 00:00:00-05:00,103413.60237884521,472.7652282714844,7,587.6392211914062,-0.005412156105523813
2025-02-27 00:00:00-05:00,103512.22863006592,472.7652282714844,7,578.2593994140625,0.0009537067557070511
2025-02-28 00:00:00-05:00,105133.13486480713,303.94084548950195,7,587.2833862304688,0.015659079668104203
2025-03-03 00:00:00-05:00,103819.75087165833,303.94084548950195,7,576.9942626953125,-0.01249257900316314
2025-03-04 00:00:00-05:00,102259.52082157135,303.94084548950195,7,570.1644897460938,-0.015028258467078448
2025-03-05 00:00:00-05:00,103734.28495502472,303.94084548950195,7,576.29248046875,0.014421778252087014
2025-03-06 00:00:00-05:00,102326.77502822876,303.94084548950195,7,566.0626220703125,-0.013568415952413426
2025-03-07 00:00:00-05:00,102643.75437259674,13790.178589820862,6,569.2353515625,0.0030977165485821523
2025-03-10 00:00:00-04:00,102021.03715229034,13790.178589820862,6,554.073486328125,-0.006066781404408972
2025-03-11 00:00:00-04:00,101856.5983171463,13790.178589820862,6,549.4674682617188,-0.0016118130116495877
2025-03-12 00:00:00-04:00,101788.49363803864,13790.178589820862,6,552.3832397460938,-0.0006686329627424437
2025-03-13 00:00:00-04:00,102132.45833683014,27152.133450508118,5,545.0197143554688,0.003379210031486002
2025-03-14 00:00:00-04:00,102903.73526477814,27152.133450508118,5,556.2775268554688,0.0075517317462814315
2025-03-17 00:00:00-04:00,104242.87395954132,27152.133450508118,5,560.5671997070312,0.013013509094859321
2025-03-18 00:00:00-04:00,104904.43776416779,27152.133450508118,5,554.50830078125,0.0063463695838166245
2025-03-19 00:00:00-04:00,105885.94413471222,27152.133450508118,5,560.54736328125,0.00935619494716633
2025-03-20 00:00:00-04:00,105861.44162464142,27152.133450508118,5,558.9264526367188,-0.0002314047465982183
2025-03-21 00:00:00-04:00,105424.13013935089,27152.133450508118,5,559.1107788085938,-0.004130979878784635
2025-03-24 00:00:00-04:00,105976.52670001984,27152.133450508118,5,569.1236572265625,0.005239754503440386
2025-03-25 00:00:00-04:00,106228.65476703644,27152.133450508118,5,570.4917602539062,0.002379093511247765
2025-03-26 00:00:00-04:00,106093.22803211212,27152.133450508118,5,563.6810913085938,-0.001274860678800005
2025-03-27 00:00:00-04:00,106987.82658863068,44192.33750629425,4,562.18408203125,0.008432192828064178
2025-03-28 00:00:00-04:00,106701.31203174591,44192.33750629425,4,550.8626708984375,-0.0026780108169354166
2025-03-31 00:00:00-04:00,106980.17261981964,922.2880983352661,7,554.5604248046875,0.0026134691576309432
