Metric,Actual,MC_Mean,MC_Std,Percentile,P_Value,Significant
Cumulative Return,0.4075594267940521,0.21311638261059324,0.26559640539522333,78.98,0.2102,False
Sharpe Ratio,2.4372286089012896,0.9100284016486414,1.0218437011359396,93.36,0.0664,False
Sortino Ratio,2.11142463142081,0.9603888629544243,1.0755797685085617,86.24,0.1376,False
Max Drawdown,-0.1069420458595671,-0.17591997688336097,0.06474006392713205,88.43,0.8843000000000001,False
